account_id,customer_name,health_score_drivers,retention_risk_drivers,expansion_score_drivers,founder_attention_drivers,recommended_next_action,score_interpretation
A009,Quartz Retail Systems,Usage trend: low; Adoption score: 43; Active user ratio: 0.3333,Renewal in 48 days; unclear value proof; usage concern,Health too low for expansion,At risk retention risk,Run renewal value proof review and confirm renewal owner.,Health 57 means At risk. Retention risk 60 means At risk. Expansion 35 means Not yet. Founder attention 55 means Owner follow-up.
A023,Granite Wealth Partners,"Healthy usage, adoption, support, and payment signals",Renewal in 53 days; watch; watch; procurement changed; reporting gap,mild interest,High-value account,Run renewal value proof review and confirm renewal owner.,Health 72 means Watch. Retention risk 40 means Watch. Expansion 74 means Expansion candidate. Founder attention 55 means Owner follow-up.
A024,Willow Health Tech,"Healthy usage, adoption, support, and payment signals",No major renewal risk drivers,usage growth; Strong product adoption,High-value account; Expansion-ready; Customer proof opportunity,Map new team use case and quantify incremental value.,Health 84 means Healthy. Retention risk 17 means Low risk. Expansion 83 means Expansion-ready. Founder attention 54 means Owner follow-up.
A010,Redwood BioWorks,"Healthy usage, adoption, support, and payment signals",expansion potential,upsell requested; Strong product adoption,High-value account; Expansion-ready; Customer proof opportunity,Package upgrade proposal with success proof.,Health 87 means Healthy. Retention risk 13 means Low risk. Expansion 89 means Expansion-ready. Founder attention 54 means Owner follow-up.
A008,Evergreen Energy Labs,Critical tickets: 1,Renewal in 85 days; watch; watch; procurement changed; integration gap,champion asks roadmap,High-value account,Run a success plan review around the main churn signal.,Health 63 means Watch. Retention risk 40 means Watch. Expansion 64 means Expansion candidate. Founder attention 53 means Owner follow-up.
A015,Cedar Security,Critical tickets: 1,watch; watch; data export gap,more seats requested,High-value account,Run a success plan review around the main churn signal.,Health 67 means Watch. Retention risk 40 means Watch. Expansion 67 means Expansion candidate. Founder attention 53 means Owner follow-up.
A013,BluePeak Manufacturing,"Healthy usage, adoption, support, and payment signals",Renewal in 75 days,usage growth; Strong product adoption,Expansion-ready; Customer proof opportunity,Map new team use case and quantify incremental value.,Health 83 means Healthy. Retention risk 20 means Low risk. Expansion 82 means Expansion-ready. Founder attention 40 means Owner follow-up.
A007,Summit Legal Ops,"Healthy usage, adoption, support, and payment signals",expansion potential,product-led expansion signal; Strong product adoption,Expansion-ready; Customer proof opportunity,Seat expansion discovery with account owner and CS.,Health 86 means Healthy. Retention risk 15 means Low risk. Expansion 87 means Expansion-ready. Founder attention 39 means Monitor.
A005,Juniper Learning,Active user ratio: 0.4,watch; new champion,new team interested,Routine owner follow-up,Run a success plan review around the main churn signal.,Health 72 means Watch. Retention risk 28 means Low risk. Expansion 70 means Expansion candidate. Founder attention 37 means Monitor.
A020,Maple Support Cloud,"Healthy usage, adoption, support, and payment signals",expansion potential,more seats requested; Strong product adoption,Expansion-ready; Customer proof opportunity,Seat expansion discovery with account owner and CS.,Health 86 means Healthy. Retention risk 14 means Low risk. Expansion 87 means Expansion-ready. Founder attention 37 means Monitor.
A022,Helio AI Studio,"Healthy usage, adoption, support, and payment signals",expansion potential,product-led expansion signal; Strong product adoption,Expansion-ready; Customer proof opportunity,Seat expansion discovery with account owner and CS.,Health 88 means Healthy. Retention risk 12 means Low risk. Expansion 88 means Expansion-ready. Founder attention 36 means Monitor.
A004,Clearwater Finance,"Healthy usage, adoption, support, and payment signals",minor workflow gap,mild interest,Expansion-ready; Customer proof opportunity,Confirm value proof before starting expansion motion.,Health 84 means Healthy. Retention risk 17 means Low risk. Expansion 81 means Expansion-ready. Founder attention 33 means Monitor.
A018,Riverbend Logistics,Active user ratio: 0.4861,watch; watch; mobile gap; Stale business review,Expansion not yet supported by signals,Routine owner follow-up,Schedule a customer touchpoint and document value proof.,Health 72 means Watch. Retention risk 40 means Watch. Expansion 55 means Not yet. Founder attention 32 means Monitor.
A011,Harbor HR Cloud,"Healthy usage, adoption, support, and payment signals",admin workflow gap,Expansion not yet supported by signals,Routine owner follow-up,Monitor account and keep health signals current.,Health 76 means Watch. Retention risk 23 means Low risk. Expansion 55 means Not yet. Founder attention 27 means Monitor.
A014,Acorn Accounting Group,"Healthy usage, adoption, support, and payment signals",No major renewal risk drivers,Expansion not yet supported by signals,Routine owner follow-up,Monitor account and keep health signals current.,Health 83 means Healthy. Retention risk 17 means Low risk. Expansion 55 means Not yet. Founder attention 22 means Monitor.
